Date,BRITANNIA.NS,DABUR.NS,HINDUNILVR.NS,ITC.NS,NESTLEIND.NS
2019-04-01,2744.547607421875,381.0926513671875,1542.3499755859375,228.5369873046875,1005.7948608398438
2019-04-02,2694.468017578125,382.0906066894531,1539.7489013671875,229.03675842285156,993.9677124023438
2019-04-03,2690.778564453125,383.46881103515625,1524.827392578125,227.69126892089844,1013.9590454101562
2019-04-04,2737.303466796875,384.98956298828125,1520.948974609375,226.65333557128906,1010.0982666015625
2019-04-05,2694.33349609375,380.5223388671875,1514.1494140625,226.46115112304688,1011.8397216796875
2019-04-08,2674.040771484375,381.2351379394531,1519.443115234375,225.0772247314453,999.8468627929688
2019-04-09,2666.301513671875,383.6588439941406,1533.68017578125,227.8065948486328,994.2672119140625
2019-04-10,2662.612060546875,383.32623291015625,1546.1375732421875,226.5764923095703,996.2852783203125
2019-04-11,2651.138427734375,383.7064208984375,1560.9677734375,227.8834686279297,991.876220703125
2019-04-12,2685.559326171875,387.12811279296875,1571.23486328125,235.0721435546875,1011.1990966796875
2019-04-15,2698.292724609375,385.6549072265625,1571.5999755859375,234.87997436523438,1010.8582763671875
2019-04-16,2718.1357421875,388.743896484375,1586.65869140625,236.18692016601562,1027.969970703125
2019-04-18,2697.6630859375,384.89453125,1587.8905029296875,234.03419494628906,1009.4160766601562
2019-04-22,2699.82275390625,383.56378173828125,1587.8448486328125,232.03521728515625,1002.5466918945312
2019-04-23,2691.5888671875,383.0885925292969,1591.8148193359375,233.2653350830078,1005.3387451171875
2019-04-24,2680.070068359375,378.9065856933594,1599.480712890625,235.61033630371094,998.2620849609375
2019-04-25,2672.015869140625,375.5323181152344,1582.6883544921875,233.84197998046875,999.464599609375
2019-04-26,2670.62109375,378.2411804199219,1594.689697265625,234.14952087402344,1010.9644775390625
2019-04-30,2606.143798828125,378.38372802734375,1604.13525390625,231.6892547607422,1007.1824340820312
2019-05-02,2504.455322265625,363.2236633300781,1572.9688720703125,234.49549865722656,978.0343017578125
2019-05-03,2426.25439453125,361.3702392578125,1545.58984375,233.91888427734375,968.4290161132812
2019-05-06,2399.12255859375,359.04156494140625,1523.0933837890625,236.03318786621094,959.2935180664062
2019-05-07,2385.21923828125,356.90301513671875,1549.1949462890625,232.1121368408203,969.761962890625
2019-05-08,2384.274169921875,349.06158447265625,1541.16357421875,231.15106201171875,953.2166748046875
2019-05-09,2404.881591796875,349.109130859375,1554.8988037109375,230.53599548339844,959.1268310546875
2019-05-10,2419.4150390625,351.4853210449219,1540.0225830078125,228.92141723632812,946.996826171875
2019-05-13,2408.616455078125,345.16473388671875,1553.3016357421875,222.42477416992188,953.3743286132812
2019-05-14,2427.5595703125,350.3448181152344,1550.107421875,226.30735778808594,943.9886474609375
2019-05-15,2418.695556640625,345.54486083984375,1525.0557861328125,228.38323974609375,950.4586181640625
2019-05-16,2444.29736328125,343.1686706542969,1540.7073974609375,226.6149139404297,951.5693969726562
2019-05-17,2501.035888671875,351.722900390625,1585.061279296875,231.7276611328125,968.7020874023438
2019-05-20,2520.78857421875,363.4613037109375,1617.6424560546875,236.03318786621094,996.7015991210938
2019-05-21,2563.53369140625,363.9840393066406,1629.278564453125,235.18751525878906,981.9893798828125
2019-05-22,2567.087890625,366.55035400390625,1613.8094482421875,234.87399291992188,990.4446411132812
2019-05-23,2554.534423828125,366.3602294921875,1600.62158203125,225.82388305664062,999.3765869140625
2019-05-24,2565.648193359375,379.2867126464844,1596.7430419921875,227.58682250976562,986.696044921875
2019-05-27,2606.59326171875,380.2846984863281,1617.140380859375,227.90032958984375,1021.5172729492188
2019-05-28,2597.99951171875,378.38372802734375,1621.6578369140625,226.37234497070312,1027.899169921875
2019-05-29,2624.99658203125,379.2391357421875,1625.2625732421875,225.7454833984375,1037.2291259765625
2019-05-30,2598.13427734375,376.7203674316406,1628.365966796875,226.17640686035156,1047.8272705078125
2019-05-31,2629.451171875,376.3402404785156,1632.244384765625,218.26243591308594,1064.2662353515625
2019-06-03,2672.87060546875,388.5538024902344,1678.97119140625,218.26243591308594,1081.6998291015625
2019-06-04,2666.48193359375,385.4647521972656,1656.9769287109375,218.81089782714844,1069.2874755859375
2019-06-06,2610.913330078125,382.99359130859375,1677.191650390625,216.06842041015625,1074.0032958984375
2019-06-07,2609.068359375,384.134033203125,1670.8033447265625,215.67662048339844,1064.79833984375
2019-06-10,2694.558349609375,389.0290222167969,1690.653076171875,218.92845153808594,1082.8057861328125
2019-06-11,2681.9599609375,389.45672607421875,1679.0626220703125,219.28103637695312,1075.822265625
2019-06-12,2696.898193359375,388.743896484375,1685.724853515625,219.3594207763672,1082.537353515625
2019-06-13,2685.78466796875,388.7914733886719,1684.2646484375,219.8686981201172,1074.9703369140625
2019-06-14,2667.381591796875,380.7124328613281,1663.6845703125,217.8706512451172,1063.4237060546875
2019-06-17,2608.978271484375,380.9975280761719,1659.212890625,215.4807586669922,1062.66943359375
2019-06-18,2580.226806640625,368.49884033203125,1651.5008544921875,215.5591278076172,1060.517333984375
2019-06-19,2587.83056640625,363.03363037109375,1653.417724609375,217.2046356201172,1074.781005859375
2019-06-20,2550.350341796875,368.5938415527344,1659.2547607421875,217.0478973388672,1084.62451171875
2019-06-21,2543.73583984375,373.1561279296875,1623.9561767578125,214.89309692382812,1073.7811279296875
2019-06-24,2502.160888671875,372.91851806640625,1621.933837890625,216.46022033691406,1084.064697265625
2019-06-25,2526.637939453125,374.77191162109375,1614.5802001953125,218.22323608398438,1083.4952392578125
