Date,INFY.NS,TCS.NS,WIPRO.NS
2019-04-01,645.1815185546875,1752.8421630859375,127.202392578125
2019-04-02,648.8555908203125,1793.953125,127.202392578125
2019-04-03,643.6436767578125,1793.953125,127.202392578125
2019-04-04,639.0296630859375,1738.045654296875,125.93839263916016
2019-04-05,648.7701416015625,1767.207763671875,127.42117309570312
2019-04-08,655.5629272460938,1786.576416015625,128.1990203857422
2019-04-09,649.880859375,1804.4791259765625,133.1091766357422
2019-04-10,643.1310424804688,1760.261962890625,136.60948181152344
2019-04-11,634.5866088867188,1742.3594970703125,136.75531005859375
2019-04-12,638.9014892578125,1738.045654296875,137.77626037597656
2019-04-15,621.5991821289062,1823.287353515625,139.86671447753906
2019-04-16,618.694091796875,1839.2490234375,136.5608673095703
2019-04-18,612.6704711914062,1854.9937744140625,138.4568634033203
2019-04-22,616.0881958007812,1864.829345703125,140.13409423828125
2019-04-23,622.1973876953125,1859.30810546875,141.5196533203125
2019-04-24,629.246337890625,1883.8106689453125,142.46763610839844
2019-04-25,622.496337890625,1893.775390625,143.5128936767578
2019-04-26,630.57080078125,1931.348876953125,143.31842041015625
2019-04-30,641.9774169921875,1950.157470703125,145.14149475097656
2019-05-02,624.4188842773438,1911.3759765625,142.7593536376953
2019-05-03,618.2669677734375,1839.4208984375,141.42242431640625
2019-05-06,613.823974609375,1861.7235107421875,141.3981170654297
2019-05-07,619.0786743164062,1856.633544921875,142.85658264160156
2019-05-08,614.6355590820312,1857.4097900390625,141.3981170654297
2019-05-09,616.0881958007812,1874.40625,141.49533081054688
2019-05-10,612.49951171875,1842.6998291015625,141.155029296875
2019-05-13,614.934814453125,1836.6168212890625,140.54734802246094
2019-05-14,609.936279296875,1805.212646484375,138.35964965820312
2019-05-15,611.8587036132812,1807.8436279296875,137.581787109375
2019-05-16,626.384033203125,1819.36181640625,138.72425842285156
2019-05-17,618.5233764648438,1807.8868408203125,139.23471069335938
2019-05-20,617.2415771484375,1849.730712890625,141.1063995361328
2019-05-21,606.0485229492188,1820.2239990234375,139.47779846191406
2019-05-22,606.43310546875,1796.067138671875,137.6304168701172
2019-05-23,598.9995727539062,1772.1685791015625,137.19288635253906
2019-05-24,605.9631958007812,1766.948486328125,137.53318786621094
2019-05-27,605.0231323242188,1773.1170654296875,136.3664093017578
2019-05-28,622.11181640625,1789.1649169921875,137.55747985839844
2019-05-29,621.8555908203125,1818.3262939453125,138.8944091796875
2019-05-30,626.7686157226562,1851.7586669921875,140.0125732421875
2019-05-31,630.3572387695312,1895.1124267578125,139.23471069335938
2019-06-03,636.2528076171875,1934.583984375,141.6168670654297
2019-06-04,628.2638549804688,1898.7508544921875,142.80796813964844
2019-06-06,628.5200805664062,1883.965087890625,141.714111328125
2019-06-07,631.5106201171875,1897.576171875,143.43995666503906
2019-06-10,643.814453125,1940.8468017578125,144.43658447265625
2019-06-11,645.0107421875,1959.3720703125,144.728271484375
2019-06-12,644.0706787109375,1966.4168701171875,144.87411499023438
2019-06-13,643.5076904296875,1960.5032958984375,145.0685577392578
2019-06-14,641.6011962890625,1960.850830078125,145.26303100585938
2019-06-17,641.6878662109375,1956.2413330078125,145.4331817626953
2019-06-18,650.00634765625,1957.67626953125,144.87411499023438
2019-06-19,651.522705078125,1965.5477294921875,142.9537811279297
2019-06-20,654.1223754882812,1981.246826171875,139.5021209716797
2019-06-21,650.049560546875,1956.8062744140625,138.96734619140625
2019-06-24,645.9771728515625,1979.1158447265625,138.0193328857422
2019-06-25,648.2300415039062,1972.4185791015625,138.69993591308594
2019-06-26,640.5181274414062,1960.5897216796875,139.11318969726562
2019-06-27,633.02294921875,1959.1549072265625,137.14425659179688
2019-06-28,634.2794189453125,1937.106689453125,136.3664093017578
2019-07-01,633.6728515625,1947.84814453125,137.0956268310547
2019-07-02,641.2113037109375,1958.763671875,138.1894989013672
2019-07-03,633.6728515625,1946.196044921875,137.5088653564453
2019-07-04,635.8389892578125,1950.544921875,137.99502563476562
2019-07-05,622.1483154296875,1881.35595703125,132.1611785888672
2019-07-08,621.8018188476562,1892.0533447265625,129.75469970703125
2019-07-09,619.98193359375,1855.4808349609375,129.0740966796875
2019-07-10,621.4984130859375,1833.6063232421875,129.7790069580078
2019-07-11,625.1810302734375,1828.6922607421875,130.1679229736328
2019-07-12,629.7303466796875,1833.0845947265625,125.88977813720703
2019-07-15,675.3082275390625,1866.2220458984375,126.35161590576172
2019-07-16,680.0740356445312,1835.971435546875,126.40023040771484
2019-07-17,688.132568359375,1845.779052734375,126.20577239990234
2019-07-18,686.8760375976562,1801.0560302734375,130.82424926757812
2019-07-19,680.550537109375,1810.6461181640625,128.68519592285156
2019-07-22,679.6840209960938,1839.3712158203125,128.73377990722656
2019-07-23,684.579833984375,1841.593994140625,128.58792114257812
2019-07-24,681.3303833007812,1827.9508056640625,128.4420928955078
2019-07-25,688.4357299804688,1855.0631103515625,127.49408721923828
2019-07-26,681.9368896484375,1838.6302490234375,128.150390625
2019-07-29,685.79296875,1856.89404296875,127.56700897216797
2019-07-30,686.8760375976562,1899.7420654296875,127.51837921142578
2019-07-31,687.6992797851562,1922.887451171875,128.97683715820312
2019-08-01,666.2100219726562,1900.527099609375,131.4562530517578
2019-08-02,672.058837890625,1922.5389404296875,128.17471313476562
2019-08-05,673.0120239257812,1960.28759765625,127.37255859375
2019-08-06,671.0623779296875,1930.908203125,125.86546325683594
2019-08-07,672.4920654296875,1929.6439208984375,127.63992309570312
2019-08-08,683.4533081054688,1968.5694580078125,129.19561767578125
