date,portfolio_value,ticker,action,shares,price,fee
2022-02-24,2492018.3039568625,HDFCBANK.NS,SELL,444.9680476617182,1367.1224758300782,912.4887284768466
2022-02-28,2622714.6465178877,TCS.NS,SELL,184.03850190702133,3310.2169870605467,913.8110629286953
2022-04-07,2972471.7578188907,HDFCBANK.NS,BUY,211.67142040517524,1463.811714599609,464.77065725255136
2022-05-23,2122007.191064396,TCS.NS,SELL,106.29538753012116,3093.7234921875,493.2728062696651
2022-05-27,2385355.784958183,TCS.NS,BUY,94.06625701770918,3064.005280273437,432.32926229672876
2022-06-22,2081180.1288554827,HDFCBANK.NS,SELL,428.61517143219976,1296.153110961914,833.3263317859797
2022-07-04,2343677.818737384,NESTLEIND.NS,SELL,477.39728681841166,1744.0870528564453,1248.93364051318
2022-07-05,2321865.604367677,NESTLEIND.NS,SELL,11.787695125955679,1743.1614656982422,30.82178386944739
2022-07-07,2470129.1700961683,NESTLEIND.NS,BUY,67.86604329140846,1768.0120954589843,179.98197811522982
2022-07-12,2304157.0183497174,HDFCBANK.NS,BUY,93.32109372041373,1358.840393066406,190.21270750865088
2022-08-01,2710112.531536362,NESTLEIND.NS,BUY,52.1804796751494,1870.0094987792966,146.3669889650841
2022-08-03,2734519.256803292,NESTLEIND.NS,BUY,4.697688806041924,1880.7601068115232,13.25283855092806
2022-08-05,2820842.561651524,NESTLEIND.NS,BUY,4.072330543183853,1934.7184301757811,11.818219433498324
2022-08-08,2847633.9700178625,NESTLEIND.NS,BUY,33.99401551898768,1908.637687988281,97.32338877839759
2022-10-20,2731421.932832198,NESTLEIND.NS,SELL,90.09334311624161,1944.3833822021484,262.76399880338477
2022-10-21,2731306.4627335137,NESTLEIND.NS,SELL,16.229054510429478,1967.0488044433594,47.88501340797962
2022-10-24,2864329.583530179,NESTLEIND.NS,BUY,27.133306071024208,2027.3243713378904,82.51201900913658
2022-10-25,2766362.986399047,NESTLEIND.NS,SELL,8.459876201672614,1965.832370727539,24.946047734393343
2022-11-11,3166701.9663967863,HDFCBANK.NS,BUY,317.8046737115958,1572.995862915039,749.858155445106
2022-12-13,3259373.4878950873,NESTLEIND.NS,BUY,232.1866272014995,1991.837381713867,693.7170053910128
2023-01-25,3197490.66582794,HDFCBANK.NS,SELL,26.689907662118458,1606.3918780517579,64.31167634156772
2023-02-07,3199087.769781163,HDFCBANK.NS,SELL,5.68159553882515,1611.7995509033203,13.736389706839025
2023-02-17,3230728.8802459817,NESTLEIND.NS,BUY,102.28808763908364,1858.2880722656248,285.12109979185504
2023-03-23,2772388.9656921607,TCS.NS,BUY,142.45846157765732,3010.7658146972653,643.3635991985618
2023-03-31,3045249.267423502,TCS.NS,BUY,65.0589568548528,3089.0547187499997,301.45601650415347
2023-04-03,3041237.87697779,NESTLEIND.NS,SELL,158.9496883579177,1921.2797999267577,458.08023817008086
2023-04-05,3179820.2298646625,NESTLEIND.NS,BUY,62.332242081880395,1936.5174686279295,181.06121347545948
2023-04-06,3167487.938962089,NESTLEIND.NS,BUY,3.079458678907713,1925.3997946777342,8.893783662131217
2023-04-19,3188012.0692851804,NESTLEIND.NS,SELL,62.51565851082,2010.321650390625,188.51487268909258
2023-04-20,3191614.236002599,NESTLEIND.NS,BUY,13.069503670634049,2000.1219030761717,39.21090083095438
2023-04-21,3269713.374172724,HDFCBANK.NS,BUY,19.086082336100617,1634.9433686523437,46.8069956234405
2023-05-02,3545636.1222392125,NESTLEIND.NS,BUY,64.99621112930754,2135.1007412109375,208.16018783713068
2023-06-08,3509850.8749578353,NESTLEIND.NS,SELL,46.72115531853956,2170.328719482422,152.10039779283795
2023-06-14,3601627.0907531846,NESTLEIND.NS,SELL,0.04966454432496903,2227.1473322753905,0.1659153861030415
2023-06-15,3590059.945248098,NESTLEIND.NS,SELL,21.837985063807537,2250.4145690917967,73.7167796208023
2023-06-16,3591567.336594265,NESTLEIND.NS,BUY,0.5060571175536097,2255.150602783203,1.7118525205406299
2023-07-06,3896350.882150715,HDFCBANK.NS,BUY,356.0507320501313,1654.0877380371091,883.4087250048877
2023-09-15,4061944.664680901,NESTLEIND.NS,BUY,236.38370903389023,2221.1542380371093,787.5670156853342
2023-09-18,4027488.9869791493,NESTLEIND.NS,SELL,31.205529637278005,2236.030042236328,104.66475262927459
2023-09-20,3850643.6613220284,NESTLEIND.NS,SELL,68.45493809056188,2222.395009277344,228.2008691592814
2023-09-27,3781197.805332468,NESTLEIND.NS,SELL,45.54041749462249,2241.2823530273436,153.10340112029263
2023-10-16,3763675.161803173,NESTLEIND.NS,SELL,24.909983273507578,2264.3632529296874,84.6078761334356
2023-10-20,3918832.388871004,NESTLEIND.NS,SELL,14.943269963074272,2379.1221584472655,53.32779703321418
2023-10-23,3785366.255203871,NESTLEIND.NS,SELL,50.65944744420926,2371.0916228027345,180.17728717616998
2023-12-06,4398110.624989668,NESTLEIND.NS,BUY,190.5890758116402,2465.7584611816405,704.9199394370115
2023-12-06,4398110.624989668,HDFCBANK.NS,SELL,2357.944589844583,1604.2653446044922,5674.153184977977
2023-12-07,4399053.338391431,NESTLEIND.NS,SELL,0.10001361972445011,2461.4972204589844,0.3692748704396637
2023-12-08,4377703.786049601,NESTLEIND.NS,BUY,4.64092173311019,2448.0913977050777,17.042100858374397
2023-12-12,4449169.392162638,NESTLEIND.NS,BUY,17.732595534889015,2463.6501538085936,65.53036757543235
2023-12-20,4579758.191202519,NESTLEIND.NS,BUY,41.89344554957188,2478.522677490234,155.75078224922433
2023-12-29,4862871.378577848,NESTLEIND.NS,BUY,4.798242559229948,2624.931391113281,18.892586273847623
